名称,类型,默认显示,描述,表格类型
comp_type,str,Y,公司类型,cashflow
report_type,str,Y,报表类型,cashflow
net_profit,float,Y,净利润,cashflow
finan_exp,float,Y,财务费用,cashflow
c_fr_sale_sg,float,Y,销售商品、提供劳务收到的现金,cashflow
recp_tax_rends,float,Y,收到的税费返还,cashflow
n_depos_incr_fi,float,Y,客户存款和同业存放款项净增加额,cashflow
n_incr_loans_cb,float,Y,向中央银行借款净增加额,cashflow
n_inc_borr_oth_fi,float,Y,向其他金融机构拆入资金净增加额,cashflow
prem_fr_orig_contr,float,Y,收到原保险合同保费取得的现金,cashflow
n_incr_insured_dep,float,Y,保户储金净增加额,cashflow
n_reinsur_prem,float,Y,收到再保业务现金净额,cashflow
n_incr_disp_tfa,float,Y,处置交易性金融资产净增加额,cashflow
ifc_cash_incr,float,Y,收取利息和手续费净增加额,cashflow
n_incr_disp_faas,float,Y,处置可供出售金融资产净增加额,cashflow
n_incr_loans_oth_bank,float,Y,拆入资金净增加额,cashflow
n_cap_incr_repur,float,Y,回购业务资金净增加额,cashflow
c_fr_oth_operate_a,float,Y,收到其他与经营活动有关的现金,cashflow
c_inf_fr_operate_a,float,Y,经营活动现金流入小计,cashflow
c_paid_goods_s,float,Y,购买商品、接受劳务支付的现金,cashflow
c_paid_to_for_empl,float,Y,支付给职工以及为职工支付的现金,cashflow
c_paid_for_taxes,float,Y,支付的各项税费,cashflow
n_incr_clt_loan_adv,float,Y,客户贷款及垫款净增加额,cashflow
n_incr_dep_cbob,float,Y,存放央行和同业款项净增加额,cashflow
c_pay_claims_orig_inco,float,Y,支付原保险合同赔付款项的现金,cashflow
pay_handling_chrg,float,Y,支付手续费的现金,cashflow
pay_comm_insur_plcy,float,Y,支付保单红利的现金,cashflow
oth_cash_pay_oper_act,float,Y,支付其他与经营活动有关的现金,cashflow
st_cash_out_act,float,Y,经营活动现金流出小计,cashflow
n_cashflow_act,float,Y,经营活动产生的现金流量净额,cashflow
oth_recp_ral_inv_act,float,Y,收到其他与投资活动有关的现金,cashflow
c_disp_withdrwl_invest,float,Y,收回投资收到的现金,cashflow
c_recp_return_invest,float,Y,取得投资收益收到的现金,cashflow
n_recp_disp_fiolta,float,Y,处置固定资产、无形资产和其他长期资产收回的现金净额,cashflow
n_recp_disp_sobu,float,Y,处置子公司及其他营业单位收到的现金净额,cashflow
stot_inflows_inv_act,float,Y,投资活动现金流入小计,cashflow
c_pay_acq_const_fiolta,float,Y,购建固定资产、无形资产和其他长期资产支付的现金,cashflow
c_paid_invest,float,Y,投资支付的现金,cashflow
n_disp_subs_oth_biz,float,Y,取得子公司及其他营业单位支付的现金净额,cashflow
oth_pay_ral_inv_act,float,Y,支付其他与投资活动有关的现金,cashflow
n_incr_pledge_loan,float,Y,质押贷款净增加额,cashflow
stot_out_inv_act,float,Y,投资活动现金流出小计,cashflow
n_cashflow_inv_act,float,Y,投资活动产生的现金流量净额,cashflow
c_recp_borrow,float,Y,取得借款收到的现金,cashflow
proc_issue_bonds,float,Y,发行债券收到的现金,cashflow
oth_cash_recp_ral_fnc_act,float,Y,收到其他与筹资活动有关的现金,cashflow
stot_cash_in_fnc_act,float,Y,筹资活动现金流入小计,cashflow
free_cashflow,float,Y,企业自由现金流量,cashflow
c_prepay_amt_borr,float,Y,偿还债务支付的现金,cashflow
c_pay_dist_dpcp_int_exp,float,Y,分配股利、利润或偿付利息支付的现金,cashflow
incl_dvd_profit_paid_sc_ms,float,Y,其中:子公司支付给少数股东的股利、利润,cashflow
oth_cashpay_ral_fnc_act,float,Y,支付其他与筹资活动有关的现金,cashflow
stot_cashout_fnc_act,float,Y,筹资活动现金流出小计,cashflow
n_cash_flows_fnc_act,float,Y,筹资活动产生的现金流量净额,cashflow
eff_fx_flu_cash,float,Y,汇率变动对现金的影响,cashflow
n_incr_cash_cash_equ,float,Y,现金及现金等价物净增加额,cashflow
c_cash_equ_beg_period,float,Y,期初现金及现金等价物余额,cashflow
c_cash_equ_end_period,float,Y,期末现金及现金等价物余额,cashflow
c_recp_cap_contrib,float,Y,吸收投资收到的现金,cashflow
incl_cash_rec_saims,float,Y,其中:子公司吸收少数股东投资收到的现金,cashflow
uncon_invest_loss,float,Y,未确认投资损失,cashflow
prov_depr_assets,float,Y,加:资产减值准备,cashflow
depr_fa_coga_dpba,float,Y,固定资产折旧、油气资产折耗、生产性生物资产折旧,cashflow
amort_intang_assets,float,Y,无形资产摊销,cashflow
lt_amort_deferred_exp,float,Y,长期待摊费用摊销,cashflow
decr_deferred_exp,float,Y,待摊费用减少,cashflow
incr_acc_exp,float,Y,预提费用增加,cashflow
loss_disp_fiolta,float,Y,处置固定、无形资产和其他长期资产的损失,cashflow
loss_scr_fa,float,Y,固定资产报废损失,cashflow
loss_fv_chg,float,Y,公允价值变动损失,cashflow
invest_loss,float,Y,投资损失,cashflow
decr_def_inc_tax_assets,float,Y,递延所得税资产减少,cashflow
incr_def_inc_tax_liab,float,Y,递延所得税负债增加,cashflow
decr_inventories,float,Y,存货的减少,cashflow
decr_oper_payable,float,Y,经营性应收项目的减少,cashflow
incr_oper_payable,float,Y,经营性应付项目的增加,cashflow
others,float,Y,其他,cashflow
im_net_cashflow_oper_act,float,Y,经营活动产生的现金流量净额(间接法),cashflow
conv_debt_into_cap,float,Y,债务转为资本,cashflow
conv_copbonds_due_within_1y,float,Y,一年内到期的可转换公司债券,cashflow
fa_fnc_leases,float,Y,融资租入固定资产,cashflow
end_bal_cash,float,Y,现金的期末余额,cashflow
beg_bal_cash,float,Y,减:现金的期初余额,cashflow
end_bal_cash_equ,float,Y,加:现金等价物的期末余额,cashflow
beg_bal_cash_equ,float,Y,减:现金等价物的期初余额,cashflow
im_n_incr_cash_equ,float,Y,现金及现金等价物净增加额(间接法),cashflow
update_flag,str,N,更新标识,cashflow
ts_code,str,Y,TS代码,fina_indicator
ann_date,str,Y,公告日期,fina_indicator
end_date,str,Y,报告期,fina_indicator
eps,float,Y,基本每股收益,fina_indicator
dt_eps,float,Y,稀释每股收益,fina_indicator
total_revenue_ps,float,Y,每股营业总收入,fina_indicator
revenue_ps,float,Y,每股营业收入,fina_indicator
capital_rese_ps,float,Y,每股资本公积,fina_indicator
surplus_rese_ps,float,Y,每股盈余公积,fina_indicator
undist_profit_ps,float,Y,每股未分配利润,fina_indicator
extra_item,float,Y,非经常性损益,fina_indicator
profit_dedt,float,Y,扣除非经常性损益后的净利润,fina_indicator
gross_margin,float,Y,毛利,fina_indicator
current_ratio,float,Y,流动比率,fina_indicator
quick_ratio,float,Y,速动比率,fina_indicator
cash_ratio,float,Y,保守速动比率,fina_indicator
invturn_days,float,N,存货周转天数,fina_indicator
arturn_days,float,N,应收账款周转天数,fina_indicator
inv_turn,float,N,存货周转率,fina_indicator
ar_turn,float,Y,应收账款周转率,fina_indicator
ca_turn,float,Y,流动资产周转率,fina_indicator
fa_turn,float,Y,固定资产周转率,fina_indicator
assets_turn,float,Y,总资产周转率,fina_indicator
op_income,float,Y,经营活动净收益,fina_indicator
valuechange_income,float,N,价值变动净收益,fina_indicator
interst_income,float,N,利息费用,fina_indicator
daa,float,N,折旧与摊销,fina_indicator
ebit,float,Y,息税前利润,fina_indicator
ebitda,float,Y,息税折旧摊销前利润,fina_indicator
fcff,float,Y,企业自由现金流量,fina_indicator
fcfe,float,Y,股权自由现金流量,fina_indicator
current_exint,float,Y,无息流动负债,fina_indicator
